WebSocket transport not available. Install eventlet or gevent and gevent-websocket for improved performance.
 * Running on http://0.0.0.0:5001/ (Press CTRL+C to quit)
192.168.32.16 - - [01/Apr/2020 06:19:28] "GET /socket.io/?EIO=3&transport=polling&t=N4qBWvv HTTP/1.1" 200 -
192.168.32.16 - - [01/Apr/2020 06:19:29] "GET /socket.io/?EIO=3&transport=polling&t=N4qBWvv HTTP/1.1" 200 -
192.168.32.16 - - [01/Apr/2020 06:19:29] "GET /socket.io/?EIO=3&transport=polling&t=N4qBW_t HTTP/1.1" 200 -
192.168.32.16 - - [01/Apr/2020 06:19:29] "GET /socket.io/?EIO=3&transport=polling&t=N4qBW_t HTTP/1.1" 200 -
192.168.32.16 - - [01/Apr/2020 06:19:29] "GET /socket.io/?EIO=3&transport=polling&t=N4qBX0T HTTP/1.1" 200 -
192.168.32.16 - - [01/Apr/2020 06:19:29] "GET /socket.io/?EIO=3&transport=polling&t=N4qBX0T HTTP/1.1" 200 -
192.168.32.16 - - [01/Apr/2020 06:19:29] "GET /socket.io/?EIO=3&transport=polling&t=N4qBX4_ HTTP/1.1" 200 -
192.168.32.16 - - [01/Apr/2020 06:19:29] "GET /socket.io/?EIO=3&transport=polling&t=N4qBX4_ HTTP/1.1" 200 -
192.168.32.16 - - [01/Apr/2020 06:19:42] "POST /socket.io/?EIO=3&transport=polling&t=N4qBakY&sid=261dc9bdb6e2422ea2d33aa2faaac5a1 HTTP/1.1" 200 -
192.168.32.16 - - [01/Apr/2020 06:19:42] "GET /socket.io/?EIO=3&transport=polling&t=N4qBXN3&sid=261dc9bdb6e2422ea2d33aa2faaac5a1 HTTP/1.1" 200 -
192.168.32.16 - - [01/Apr/2020 06:19:42] "POST /socket.io/?EIO=3&transport=polling&t=N4qBakU&sid=3046b9e6d73b4bb390e436b2248cc71e HTTP/1.1" 200 -
192.168.32.16 - - [01/Apr/2020 06:19:42] "GET /socket.io/?EIO=3&transport=polling&t=N4qBXNA&sid=3046b9e6d73b4bb390e436b2248cc71e HTTP/1.1" 200 -
192.168.32.16 - - [01/Apr/2020 06:19:46] "POST /socket.io/?EIO=3&transport=polling&t=N4qBbj2&sid=840964c67c664bacb0e946914ae951f3 HTTP/1.1" 200 -
192.168.32.16 - - [01/Apr/2020 06:19:46] "GET /socket.io/?EIO=3&transport=polling&t=N4qBXN6&sid=840964c67c664bacb0e946914ae951f3 HTTP/1.1" 200 -
192.168.32.16 - - [01/Apr/2020 06:19:46] "POST /socket.io/?EIO=3&transport=polling&t=N4qBbi_&sid=d1b3386325034d48aa1fb694e6da7cf0 HTTP/1.1" 200 -
192.168.32.16 - - [01/Apr/2020 06:19:46] "GET /socket.io/?EIO=3&transport=polling&t=N4qBXMw&sid=d1b3386325034d48aa1fb694e6da7cf0 HTTP/1.1" 200 -
192.168.32.16 - - [01/Apr/2020 06:19:49] "GET /socket.io/?EIO=3&transport=polling&t=N4qBals&sid=3046b9e6d73b4bb390e436b2248cc71e HTTP/1.1" 200 -
192.168.32.16 - - [01/Apr/2020 06:19:49] "GET /socket.io/?EIO=3&transport=polling&t=N4qBaln&sid=261dc9bdb6e2422ea2d33aa2faaac5a1 HTTP/1.1" 200 -
192.168.32.16 - - [01/Apr/2020 06:19:49] "GET /socket.io/?EIO=3&transport=polling&t=N4qBX07&sid=03cfccffa3664589b58033268a15cc6f HTTP/1.1" 200 -
192.168.32.16 - - [01/Apr/2020 06:19:49] "GET /socket.io/?EIO=3&transport=polling&t=N4qBX0j&sid=b534069e049544f9a3198c209527cb1f HTTP/1.1" 200 -
192.168.32.16 - - [01/Apr/2020 06:19:49] "GET /socket.io/?EIO=3&transport=polling&t=N4qBX5O&sid=568ef8c642e54289a7edaca931d53af0 HTTP/1.1" 200 -
192.168.32.16 - - [01/Apr/2020 06:19:49] "GET /socket.io/?EIO=3&transport=polling&t=N4qBWwP&sid=d73a23b1c6b94bf789108fddd6be11e2 HTTP/1.1" 200 -
192.168.32.16 - - [01/Apr/2020 06:19:49] "GET /socket.io/?EIO=3&transport=polling&t=N4qBbkK&sid=d1b3386325034d48aa1fb694e6da7cf0 HTTP/1.1" 200 -
192.168.32.16 - - [01/Apr/2020 06:19:49] "GET /socket.io/?EIO=3&transport=polling&t=N4qBbkA&sid=840964c67c664bacb0e946914ae951f3 HTTP/1.1" 200 -
192.168.32.16 - - [01/Apr/2020 06:19:49] "GET /socket.io/?EIO=3&transport=polling&t=N4qBcRa&sid=261dc9bdb6e2422ea2d33aa2faaac5a1 HTTP/1.1" 200 -
192.168.32.16 - - [01/Apr/2020 06:19:49] "GET /socket.io/?EIO=3&transport=polling&t=N4qBcRh&sid=d1b3386325034d48aa1fb694e6da7cf0 HTTP/1.1" 200 -
192.168.32.16 - - [01/Apr/2020 06:19:49] "GET /socket.io/?EIO=3&transport=polling&t=N4qBcRm&sid=840964c67c664bacb0e946914ae951f3 HTTP/1.1" 200 -
192.168.32.16 - - [01/Apr/2020 06:19:49] "GET /socket.io/?EIO=3&transport=polling&t=N4qBX0j&sid=b534069e049544f9a3198c209527cb1f HTTP/1.1" 200 -
192.168.32.16 - - [01/Apr/2020 06:19:49] "GET /socket.io/?EIO=3&transport=polling&t=N4qBX5O&sid=568ef8c642e54289a7edaca931d53af0 HTTP/1.1" 200 -
192.168.32.16 - - [01/Apr/2020 06:19:49] "GET /socket.io/?EIO=3&transport=polling&t=N4qBcRU&sid=3046b9e6d73b4bb390e436b2248cc71e HTTP/1.1" 200 -
192.168.32.16 - - [01/Apr/2020 06:19:49] "GET /socket.io/?EIO=3&transport=polling&t=N4qBWwP&sid=d73a23b1c6b94bf789108fddd6be11e2 HTTP/1.1" 200 -
192.168.32.16 - - [01/Apr/2020 06:19:49] "GET /socket.io/?EIO=3&transport=polling&t=N4qBX07&sid=03cfccffa3664589b58033268a15cc6f HTTP/1.1" 200 -
192.168.32.16 - - [01/Apr/2020 06:20:07] "GET /socket.io/?EIO=3&transport=polling&t=N4qBPHK&sid=25ba23cd0f384fd2b43bfe268d98981a HTTP/1.1" 400 -
192.168.32.16 - - [01/Apr/2020 06:20:07] "GET /socket.io/?EIO=3&transport=polling&t=N4qBRjt&sid=2324ab1ef7514f8fb8ed557baf753c6f HTTP/1.1" 400 -
192.168.32.16 - - [01/Apr/2020 06:20:07] "POST /socket.io/?EIO=3&transport=polling&t=N4qBd13&sid=d73a23b1c6b94bf789108fddd6be11e2 HTTP/1.1" 200 -
192.168.32.16 - - [01/Apr/2020 06:20:07] "GET /socket.io/?EIO=3&transport=polling&t=N4qBbwz&sid=d73a23b1c6b94bf789108fddd6be11e2 HTTP/1.1" 200 -
192.168.32.16 - - [01/Apr/2020 06:20:07] "GET /socket.io/?EIO=3&transport=polling&t=N4qBbwq&sid=b534069e049544f9a3198c209527cb1f HTTP/1.1" 200 -
192.168.32.16 - - [01/Apr/2020 06:20:07] "POST /socket.io/?EIO=3&transport=polling&t=N4qBd7O&sid=b534069e049544f9a3198c209527cb1f HTTP/1.1" 200 -
192.168.32.16 - - [01/Apr/2020 06:20:07] "POST /socket.io/?EIO=3&transport=polling&t=N4qBdC2&sid=568ef8c642e54289a7edaca931d53af0 HTTP/1.1" 200 -
192.168.32.16 - - [01/Apr/2020 06:20:07] "POST /socket.io/?EIO=3&transport=polling&t=N4qBd6n&sid=03cfccffa3664589b58033268a15cc6f HTTP/1.1" 200 -
192.168.32.16 - - [01/Apr/2020 06:20:07] "GET /socket.io/?EIO=3&transport=polling&t=N4qBbx2&sid=568ef8c642e54289a7edaca931d53af0 HTTP/1.1" 200 -
192.168.32.16 - - [01/Apr/2020 06:20:07] "GET /socket.io/?EIO=3&transport=polling&t=N4qBbww&sid=03cfccffa3664589b58033268a15cc6f HTTP/1.1" 200 -
192.168.32.16 - - [01/Apr/2020 06:20:08] "POST /socket.io/?EIO=3&transport=polling&t=N4qBh4l&sid=261dc9bdb6e2422ea2d33aa2faaac5a1 HTTP/1.1" 200 -
192.168.32.16 - - [01/Apr/2020 06:20:08] "POST /socket.io/?EIO=3&transport=polling&t=N4qBh4o&sid=3046b9e6d73b4bb390e436b2248cc71e HTTP/1.1" 200 -
192.168.32.16 - - [01/Apr/2020 06:20:08] "GET /socket.io/?EIO=3&transport=polling&t=N4qBcVm&sid=261dc9bdb6e2422ea2d33aa2faaac5a1 HTTP/1.1" 200 -
192.168.32.16 - - [01/Apr/2020 06:20:08] "GET /socket.io/?EIO=3&transport=polling&t=N4qBcVr&sid=3046b9e6d73b4bb390e436b2248cc71e HTTP/1.1" 200 -
192.168.32.16 - - [01/Apr/2020 06:20:10] "GET /socket.io/?EIO=3&transport=polling&t=N4qBcVg&sid=d1b3386325034d48aa1fb694e6da7cf0 HTTP/1.1" 200 -
192.168.32.16 - - [01/Apr/2020 06:20:10] "GET /socket.io/?EIO=3&transport=polling&t=N4qBcVc&sid=840964c67c664bacb0e946914ae951f3 HTTP/1.1" 200 -
192.168.32.16 - - [01/Apr/2020 06:20:10] "GET /socket.io/?EIO=3&transport=polling&t=N4qBbww&sid=03cfccffa3664589b58033268a15cc6f HTTP/1.1" 200 -
192.168.32.16 - - [01/Apr/2020 06:20:10] "GET /socket.io/?EIO=3&transport=polling&t=N4qBbwq&sid=b534069e049544f9a3198c209527cb1f HTTP/1.1" 200 -
192.168.32.16 - - [01/Apr/2020 06:20:10] "GET /socket.io/?EIO=3&transport=polling&t=N4qBh69&sid=261dc9bdb6e2422ea2d33aa2faaac5a1 HTTP/1.1" 200 -
192.168.32.16 - - [01/Apr/2020 06:20:10] "GET /socket.io/?EIO=3&transport=polling&t=N4qBbwz&sid=d73a23b1c6b94bf789108fddd6be11e2 HTTP/1.1" 200 -
192.168.32.16 - - [01/Apr/2020 06:20:10] "GET /socket.io/?EIO=3&transport=polling&t=N4qBh65&sid=3046b9e6d73b4bb390e436b2248cc71e HTTP/1.1" 200 -
192.168.32.16 - - [01/Apr/2020 06:20:10] "GET /socket.io/?EIO=3&transport=polling&t=N4qBbx2&sid=568ef8c642e54289a7edaca931d53af0 HTTP/1.1" 200 -
192.168.32.16 - - [01/Apr/2020 06:20:10] "GET /socket.io/?EIO=3&transport=polling&t=N4qBhbg&sid=3046b9e6d73b4bb390e436b2248cc71e HTTP/1.1" 200 -
192.168.32.16 - - [01/Apr/2020 06:20:10] "GET /socket.io/?EIO=3&transport=polling&t=N4qBhbC&sid=d1b3386325034d48aa1fb694e6da7cf0 HTTP/1.1" 200 -
192.168.32.16 - - [01/Apr/2020 06:20:10] "GET /socket.io/?EIO=3&transport=polling&t=N4qBhbm&sid=261dc9bdb6e2422ea2d33aa2faaac5a1 HTTP/1.1" 200 -
192.168.32.16 - - [01/Apr/2020 06:20:10] "GET /socket.io/?EIO=3&transport=polling&t=N4qBgO5&sid=d73a23b1c6b94bf789108fddd6be11e2 HTTP/1.1" 200 -
192.168.32.16 - - [01/Apr/2020 06:20:10] "GET /socket.io/?EIO=3&transport=polling&t=N4qBgOs&sid=b534069e049544f9a3198c209527cb1f HTTP/1.1" 200 -
192.168.32.16 - - [01/Apr/2020 06:20:10] "GET /socket.io/?EIO=3&transport=polling&t=N4qBhbK&sid=840964c67c664bacb0e946914ae951f3 HTTP/1.1" 200 -
192.168.32.16 - - [01/Apr/2020 06:20:10] "GET /socket.io/?EIO=3&transport=polling&t=N4qBgP2&sid=03cfccffa3664589b58033268a15cc6f HTTP/1.1" 200 -
